"nom","point","minzoomvisible","depart","objet_recuperable","objet_code","objet_bloque_par_objet","objet_bloque_par_code","url","size","longitude","latitude","inventaire","objet_debloque","code","description","objet_qui_bloque","code_qui_bloque","indice"
"alliance","0101000020110F00000100A0D5967861409FAC1F19F5DA4140",19,False,False,True,False,False,"../images/wedd_ring.png","{60,60}","139.76841241121295","35.71060480162236",False,NULL,2711,"L'alliance que vous aviez perdu la veille au restaurant. Il y est inscrit : 27/11/2023.
Le serveur qui l'a trouvée vous informe que vous étiez avec un homme hier soir, et il vous remercié de l'avoir aidé à jeter les poubelles.",NULL,NULL,NULL
"argent","0101000020110F00000100C01E6A7861406542F40B8CDA4140",0,True,True,False,False,False,"../images/money.png","{50,50}","139.76295411586764","35.70739888598181",True,NULL,NULL,"Quelques yens se baladent dans vos poches.",NULL,NULL,NULL
"carte_de_visite","0101000020110F00000000E0756B78614089C2C3428CDA4140",0,True,True,False,False,False,"../images/business_card.png","{50,50}","139.76311773061752","35.70740541990842",True,NULL,NULL,"Une carte de visite de restaurant se trouve dans votre poche, mais vous ne savez pas où il se trouve.",NULL,NULL,NULL
"clef","0101000020110F00000100C0A56A7861409F5C1EFA89DA4140",0,True,True,False,False,False,"../images/key.png","{50,50}","139.763018488884","35.70733572466383",True,NULL,NULL,"Une petit clé réside dans le coin d'une de vos poches, vous ne savez pas ce qu'elle ouvre.",NULL,NULL,NULL
"coord_hotel","0101000020110F00000100ACAA97786140A6BE710519DB4140",21,False,True,False,False,False,"../images/coord_paper.png","{70,70}","139.7685139998794","35.711701088466086",False,NULL,NULL,"Des coordonnées inscrites sur un papier chiffonné : 35.7131191, 139.7582810",NULL,NULL,NULL
"couteau","0101000020110F0000000098D643786140B7A9DE7C47DB4140",20,True,False,False,False,True,"../images/knife.png","{50,50}","139.75828103721142","35.713119133684295",False,"mari",NULL,"Un couteau ensanglanté se trouve à l'entrée de votre chambre d'hôtel.",NULL,2711,"Indice: peut-être avez-vous utilisé une date qui vous est chère comme code de votre chambre d'hôtel."
"dictionnaire","0101000020110F00000100A88B607861404341559E8BDA4140",20,True,False,False,True,False,"../images/dictionnary.png","{60,60}","139.7617853432894","35.707385818127044",False,"coord_hotel",NULL,"Un dictionnaire français-japonais.","argent",NULL,"Indice: vous n'allez quand même pas voler une supérette japonaise."
"journal","0101000020110F00000100D0CC427861406AD601294EDB4140",23,True,False,False,True,False,"../images/diary.png","{60,60}","139.7581543028355","35.7133227595303",False,NULL,NULL,"Votre journal intime, où réside tous vos plus lourds secrets...","clef",NULL,"Indice: il renferme des choses que vous préférez cacher en le fermant à double tour."
"mari","0101000020110F000001006086447861406F6CA1BB4CDB4140",21,False,True,False,False,False,"../images/dead_man.png","{150,225}","139.75836485624316","35.71327920324335",False,NULL,NULL,"Un homme mort, au milieu de la pièce.",NULL,NULL,NULL
"monsieur","0101000020110F00000100A0C46B7861404A0E4CAF91DA4140",0,True,False,False,True,False,"../images/jap_man.png","{40,50}","139.76315528154376","35.707570945870046",False,"alliance",NULL,"Un vieux monsieur japonais est prêt à vous apporter son aide.","dictionnaire",NULL,"Indice: la supérette à l'Ouest a peut-être quelque chose qui pourrait vous permettre de comprendre."
